Gemeente;11-Mar;12-Mar;13-Mar;14-Mar;15-Mar;16-Mar;17-Mar;18-Mar;19-Mar;20-Mar;21-Mar;22-Mar;23-Mar;24-Mar;25-Mar;26-Mar;27-Mar
's-Gravenhage;7;7;8;9;10;14;17;21;27;;44;;53;63;81;103;124
's-Hertogenbosch;5;8;11;14;14;20;24;30;35;;45;;60;67;75;87;108
Aa en Hunze;0;0;0;0;0;0;0;0;0;;0;;1;1;1;3;3
Aalsmeer;2;2;3;3;3;3;3;3;4;;5;;8;9;10;11;12
Aalten;0;0;0;0;0;0;0;0;0;;1;;1;1;2;2;3
Achtkarspelen;0;0;0;0;0;0;0;0;0;;0;;0;0;1;1;2
Alblasserdam;0;0;0;0;0;0;1;1;2;;3;;4;4;5;6;6
Albrandswaard;1;1;1;1;1;2;3;4;4;;8;;14;18;18;19;21
Alkmaar;1;1;1;1;1;2;2;5;9;;11;;16;20;24;29;36
Almelo;1;1;1;1;1;1;1;1;2;;4;;7;8;10;12;14
Almere;1;1;1;2;2;3;3;4;5;;11;;18;21;28;32;39
Alphen aan den Rijn;2;3;4;6;6;6;6;9;10;;15;;17;20;22;30;32
Alphen-Chaam;0;0;0;1;1;2;3;6;6;;7;;14;15;16;19;19
Altena;4;5;8;9;10;12;12;15;19;;22;;25;28;35;35;39
Ameland;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0
Amersfoort;2;4;4;4;10;18;21;23;30;;37;;41;44;47;54;59
Amstelveen;2;2;3;3;3;4;6;7;13;;26;;29;33;35;46;52
Amsterdam;8;11;20;31;31;39;56;61;85;;161;;203;250;297;351;411
Apeldoorn;1;2;2;3;3;7;7;10;11;;16;;26;29;34;39;49
Appingedam;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;1
Arnhem;3;4;4;4;7;7;8;9;10;;15;;20;23;25;34;46
Assen;0;0;0;0;0;0;0;0;0;;1;;4;5;5;7;8
Asten;0;0;0;0;1;1;2;2;2;;5;;5;6;6;6;8
Baarle-Nassau;0;0;0;0;0;0;0;0;0;;1;;1;1;2;2;2
Baarn;0;0;0;0;0;0;0;0;2;;1;;2;2;4;5;5
Barendrecht;0;1;1;1;3;3;3;3;4;;9;;13;15;16;19;21
Barneveld;0;0;0;0;2;3;4;5;6;;8;;10;12;13;13;17
Beek;0;0;0;0;3;3;3;3;3;;5;;5;9;13;13;13
Beekdaelen;8;8;8;9;12;13;15;18;18;;19;;20;29;30;32;34
Beemster;0;0;0;0;0;0;0;0;0;;0;;0;1;2;2;4
Beesel;0;0;0;0;0;0;0;0;0;;3;;5;6;7;8;11
Berg en Dal;3;3;5;6;6;10;14;14;18;;25;;33;35;37;43;44
Bergeijk;1;1;1;1;1;1;1;1;1;;1;;3;5;10;11;13
Bergen (L);0;0;0;0;0;0;0;1;1;;1;;1;1;1;1;2
Bergen (NH);0;0;0;0;1;1;1;2;4;;6;;9;12;12;14;16
Bergen op Zoom;1;1;1;1;4;4;5;5;6;;9;;12;12;12;13;15
Berkelland;0;0;0;0;0;0;0;0;1;;1;;2;2;2;2;2
Bernheze;2;4;13;15;16;19;20;26;30;;41;;62;67;69;83;87
Best;3;3;3;3;3;4;5;6;6;;11;;14;17;19;21;23
Beuningen;3;3;3;4;4;5;6;6;6;;9;;12;13;15;15;16
Beverwijk;4;5;5;5;5;5;6;6;6;;6;;7;11;11;12;13
Bladel;0;0;0;1;1;1;1;2;3;;7;;12;14;15;15;15
Blaricum;1;1;1;1;1;1;1;2;2;;4;;4;4;5;6;6
Bloemendaal;1;1;1;1;1;1;3;3;3;;8;;11;13;13;16;17
Bodegraven-Reeuwijk;0;1;1;1;1;1;1;1;1;;3;;5;5;5;8;9
Boekel;7;8;11;12;12;14;14;19;20;;32;;40;42;42;42;51
Borger-Odoorn;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;1
Borne;3;2;3;3;3;3;3;3;3;;4;;7;8;11;12;13
Borsele;1;1;1;1;1;2;2;2;3;;3;;3;4;5;6;7
Boxmeer;0;0;1;1;1;1;1;2;2;;6;;7;9;9;10;13
Boxtel;0;1;1;2;2;3;5;5;6;;11;;12;15;15;19;22
Breda;32;42;53;64;71;86;96;105;113;;133;;161;167;181;201;215
Brielle;0;0;0;0;0;0;0;0;1;;1;;1;1;1;2;5
Bronckhorst;2;2;2;2;2;2;2;2;3;;6;;6;7;7;8;8
Brummen;0;0;0;0;0;0;0;0;1;;1;;4;4;4;4;5
Brunssum;0;0;0;0;0;0;2;4;4;;6;;8;17;20;22;24
Bunnik;0;0;0;0;0;0;0;0;1;;3;;4;6;8;9;9
Bunschoten;0;0;0;0;0;0;0;0;0;;0;;0;1;3;3;3
Buren;0;1;2;2;2;4;4;4;5;;5;;5;6;7;7;7
Capelle aan den IJssel;0;0;0;0;0;0;1;1;2;;3;;7;13;23;26;31
Castricum;0;0;0;4;5;5;5;5;6;;7;;8;10;10;13;18
Coevorden;11;11;11;11;11;11;11;12;12;;14;;14;15;15;17;17
Cranendonck;1;1;2;2;2;2;5;6;6;;11;;19;23;25;31;42
Cuijk;1;1;2;2;2;2;2;2;4;;4;;5;6;8;8;8
Culemborg;1;1;2;2;2;2;4;4;4;;5;;5;8;8;14;14
Dalfsen;0;0;0;0;1;1;1;1;1;;5;;9;11;12;13;14
Dantumadiel;0;0;0;0;0;0;0;0;0;;0;;0;0;0;1;1
De Bilt;10;11;11;11;12;13;15;16;16;;19;;23;27;32;34;36
De Fryske Marren;0;1;2;2;3;3;3;5;5;;8;;8;8;9;12;12
De Ronde Venen;0;0;0;0;0;2;2;2;2;;3;;6;8;9;13;17
De Wolden;0;0;0;1;1;1;1;1;1;;3;;3;3;3;3;3
Delft;1;1;2;2;2;2;2;4;5;;11;;16;17;21;25;27
Delfzijl;0;0;0;0;0;0;0;0;0;;0;;1;1;1;2;4
Den Helder;1;1;1;1;1;1;1;1;2;;3;;4;5;5;6;9
Deurne;3;3;3;3;4;5;8;8;10;;19;;22;25;30;35;42
Deventer;0;0;0;0;1;2;4;5;5;;16;;17;20;26;30;33
Diemen;2;2;2;2;2;2;2;2;2;;3;;4;4;6;6;7
Dinkelland;2;1;3;4;4;5;5;6;8;;13;;15;17;20;25;28
Doesburg;0;0;0;0;1;1;1;1;1;;3;;4;4;5;5;6
Doetinchem;0;0;0;0;0;0;0;0;3;;5;;6;8;10;17;17
Dongen;4;4;4;5;5;5;5;5;5;;2;;2;4;6;6;10
Dordrecht;0;0;1;1;1;1;4;4;8;;12;;17;23;26;28;32
Drechterland;0;0;0;0;0;0;0;0;0;;2;;2;3;3;4;4
Drimmelen;1;3;5;5;5;7;11;12;13;;14;;16;17;20;21;24
Dronten;0;0;2;3;6;7;7;8;9;;11;;11;11;11;11;11
Druten;0;0;1;3;5;5;5;5;5;;5;;6;6;7;7;11
Duiven;0;0;1;1;1;1;1;2;2;;2;;2;2;2;3;4
Echt-Susteren;0;0;0;0;0;0;2;6;6;;11;;14;15;20;23;25
Edam-Volendam;0;0;0;0;0;0;0;0;3;;4;;6;7;9;10;14
Ede;0;0;0;0;1;2;2;5;5;;13;;21;22;26;33;37
Eemnes;0;0;0;0;0;0;0;1;1;;1;;1;1;1;1;1
Eersel;0;1;1;2;2;2;3;4;4;;7;;10;13;13;14;15
Eijsden-Margraten;0;0;0;1;3;4;4;4;4;;6;;7;15;20;26;32
Eindhoven;8;8;12;13;21;21;22;23;24;;35;;55;68;80;93;113
Elburg;0;0;1;1;1;1;1;1;1;;2;;4;4;5;6;9
Emmen;1;1;1;1;1;1;1;2;3;;4;;6;7;8;8;10
Enkhuizen;0;0;0;0;0;1;1;1;5;;6;;8;10;13;15;17
Enschede;1;3;3;3;3;3;3;4;7;;16;;20;20;26;34;45
Epe;0;0;0;0;0;2;2;4;4;;6;;10;13;15;16;18
Ermelo;1;3;4;5;7;8;8;8;8;;11;;13;14;17;17;18
Etten-Leur;5;5;6;7;8;10;12;13;14;;18;;24;24;31;37;40
Geertruidenberg;1;1;1;1;1;3;5;7;7;;7;;10;10;11;11;11
Geldrop-Mierlo;0;1;2;2;2;3;3;3;4;;6;;8;9;15;16;20
Gemert-Bakel;4;7;11;13;16;20;25;26;31;;42;;56;64;68;71;76
Gennep;0;0;1;1;1;1;1;2;4;;5;;7;7;7;8;9
Gilze en Rijen;0;0;1;1;1;1;1;3;5;;7;;13;16;18;19;22
Goeree-Overflakkee;0;0;1;1;2;4;5;7;8;;16;;36;43;44;56;77
Goes;2;2;2;2;2;2;2;3;3;;3;;3;4;4;7;12
Goirle;6;6;6;6;6;9;9;9;11;;12;;13;16;18;21;24
Gooise Meren;3;3;3;4;4;4;9;9;10;;11;;11;12;18;20;24
Gorinchem;0;0;0;0;0;0;0;0;1;;0;;2;4;8;9;13
Gouda;2;2;2;2;3;4;5;7;9;;12;;16;17;18;25;31
Grave;0;0;0;0;0;0;0;1;2;;6;;11;11;11;14;16
Groningen;0;2;3;3;6;7;7;11;23;;39;;53;53;58;76;80
Gulpen-Wittem;0;0;0;0;1;2;2;2;2;;2;;2;4;5;5;7
Haaksbergen;0;0;0;0;1;1;1;1;1;;1;;3;3;3;4;6
Haaren;6;6;7;7;7;7;7;9;9;;10;;12;12;12;14;18
Haarlem;1;1;4;4;4;6;7;7;10;;25;;29;41;46;54;66
Haarlemmermeer;0;0;0;0;1;2;4;4;5;;12;;18;23;23;30;40
Halderberge;0;0;0;0;0;2;2;2;2;;5;;7;8;8;8;10
Hardenberg;0;0;0;0;0;0;0;0;0;;3;;4;6;7;9;11
Harderwijk;0;2;2;2;2;4;4;5;5;;5;;8;9;13;14;18
Hardinxveld-Giessendam;5;5;5;5;5;5;5;5;5;;6;;6;6;6;6;7
Harlingen;0;0;0;0;0;1;1;1;1;;3;;3;3;3;3;3
Hattem;0;0;0;0;0;0;0;0;0;;1;;1;2;3;5;7
Heemskerk;0;0;1;1;1;2;2;2;3;;5;;5;7;9;10;16
Heemstede;1;2;2;2;2;5;5;5;5;;11;;13;16;17;21;24
Heerde;0;0;0;0;0;2;3;3;4;;9;;13;15;19;24;27
Heerenveen;0;0;0;0;0;0;0;0;0;;2;;3;3;3;4;5
Heerhugowaard;0;0;0;0;1;1;1;2;2;;5;;10;15;16;19;20
Heerlen;1;2;2;4;5;6;8;14;15;;19;;29;46;53;63;68
Heeze-Leende;1;1;1;1;1;2;3;4;4;;4;;7;7;10;10;12
Heiloo;0;0;2;2;2;3;3;3;3;;4;;6;8;9;10;13
Hellendoorn;2;2;2;2;2;2;2;2;2;;3;;5;6;7;7;8
Hellevoetsluis;0;1;1;1;1;1;1;1;1;;4;;5;5;5;7;10
Helmond;12;14;16;17;17;17;19;20;22;;32;;49;55;63;66;75
Hendrik-Ido-Ambacht;0;2;0;0;0;0;0;0;0;;0;;2;2;3;5;5
Hengelo (O);0;0;0;0;0;3;3;4;4;;13;;15;16;17;21;23
Het Hogeland;0;0;0;0;0;0;0;0;0;;0;;1;1;4;6;7
Heumen;0;0;0;0;2;2;3;5;6;;7;;9;11;12;15;15
Heusden;2;3;4;4;4;4;4;5;6;;11;;16;19;20;25;37
Hillegom;0;0;0;0;0;0;0;1;1;;2;;2;3;3;3;3
Hilvarenbeek;1;1;5;5;5;4;4;4;4;;5;;7;8;10;10;10
Hilversum;0;0;0;0;0;0;3;3;3;;7;;7;7;16;18;24
Hoeksche Waard;2;1;1;1;2;4;6;8;12;;17;;23;31;36;43;51
Hof van Twente;0;0;0;0;1;1;1;3;3;;4;;5;5;6;8;14
Hollands Kroon;0;0;0;0;0;0;0;1;3;;6;;8;10;10;14;17
Hoogeveen;0;0;1;2;2;2;2;3;3;;5;;5;6;7;7;8
Hoorn;0;0;0;0;0;1;1;1;2;;8;;11;12;14;15;17
Horst aan de Maas;0;0;2;3;3;5;8;8;10;;13;;16;17;18;20;25
Houten;13;13;13;13;13;13;13;14;17;;19;;25;29;37;43;47
Huizen;2;1;1;1;1;1;1;2;3;;3;;3;3;7;8;13
Hulst;0;0;0;0;0;0;0;0;0;;0;;0;0;1;1;2
IJsselstein;1;1;1;1;2;4;6;7;8;;11;;16;16;18;23;26
Kaag en Braassem;0;0;0;0;0;0;0;0;1;;1;;2;4;5;5;5
Kampen;0;0;0;0;0;0;1;2;2;;12;;17;20;30;41;45
Kapelle;0;0;0;0;0;0;1;2;2;;2;;2;2;2;2;2
Katwijk;0;1;1;1;1;1;1;2;2;;5;;6;6;7;10;15
Kerkrade;0;0;0;1;2;2;3;3;3;;6;;8;17;21;26;28
Koggenland;0;0;0;1;1;1;1;1;1;;1;;4;4;5;6;6
Krimpen aan den IJssel;0;1;1;1;1;1;1;1;2;;2;;3;3;6;7;7
Krimpenerwaard;3;3;3;3;4;4;4;4;5;;9;;11;12;16;19;24
Laarbeek;0;0;1;1;1;1;1;2;4;;8;;13;17;19;24;33
Landerd;2;2;4;5;5;10;14;16;18;;20;;23;25;25;34;42
Landgraaf;0;1;2;4;4;4;4;7;7;;9;;11;18;21;25;28
Landsmeer;0;2;2;2;3;3;3;3;3;;4;;5;6;6;7;7
Langedijk;1;1;3;3;4;4;4;4;4;;4;;5;12;12;13;14
Lansingerland;4;4;4;4;5;5;7;10;13;;16;;20;24;25;28;34
Laren;0;0;0;0;0;0;0;0;0;;0;;0;3;4;5;8
Leeuwarden;0;1;1;1;1;2;3;4;5;;8;;10;10;12;15;19
Leiden;1;1;4;4;4;8;8;11;12;;16;;16;20;21;28;30
Leiderdorp;0;0;0;0;0;1;1;2;2;;2;;2;2;3;4;4
Leidschendam-Voorburg;2;2;3;3;3;4;5;6;6;;9;;10;13;14;17;18
Lelystad;1;1;3;6;7;8;10;12;13;;15;;21;24;26;27;29
Leudal;3;4;4;6;6;7;8;11;13;;20;;23;26;29;32;37
Leusden;0;0;0;0;0;1;1;3;4;;6;;7;9;13;13;16
Lingewaard;2;2;2;3;3;3;3;4;5;;6;;10;11;14;14;22
Lisse;0;0;0;0;0;0;0;0;0;;0;;1;1;2;2;3
Lochem;0;0;0;0;0;0;0;1;1;;2;;2;2;6;8;11
Loon op Zand;7;6;7;7;7;7;8;9;11;;14;;17;20;20;21;25
Lopik;0;0;0;0;0;1;2;3;3;;4;;9;10;11;12;13
Loppersum;0;0;0;0;0;0;0;0;0;;0;;0;0;0;1;1
Losser;0;0;0;0;0;0;0;0;0;;1;;1;1;1;1;1
Maasdriel;0;0;0;0;0;0;1;1;1;;2;;2;3;3;5;6
Maasgouw;0;0;0;1;2;2;3;4;5;;7;;9;9;10;12;13
Maassluis;0;0;0;1;1;1;1;2;2;;3;;6;7;7;8;11
Maastricht;8;8;10;16;21;24;33;41;42;;57;;60;94;112;118;126
Medemblik;0;0;0;0;0;0;0;0;0;;1;;4;4;4;6;8
Meerssen;0;0;0;0;0;1;1;2;2;;2;;3;8;8;8;8
Meierijstad;13;18;25;30;34;42;49;60;72;;95;;127;139;149;168;195
Meppel;0;0;0;0;0;0;0;0;0;;1;;3;3;3;3;4
Middelburg;0;0;0;0;0;1;1;2;3;;4;;6;6;7;8;9
Midden-Delfland;0;0;0;0;0;0;0;0;1;;2;;2;2;2;2;3
Midden-Drenthe;0;0;0;0;0;0;0;0;1;;1;;1;1;1;2;2
Midden-Groningen;0;0;0;0;1;1;1;2;2;;2;;2;2;2;5;5
Mill en Sint Hubert;0;0;0;0;1;1;1;1;2;;2;;2;5;5;5;7
Moerdijk;0;1;1;1;1;1;1;1;2;;3;;3;4;5;5;6
Molenlanden;0;0;0;0;1;2;3;7;9;;11;;11;13;16;16;17
Montferland;0;0;0;0;0;0;0;1;1;;1;;3;3;3;4;5
Montfoort;0;0;0;0;0;0;0;0;0;;0;;2;3;5;9;11
Mook en Middelaar;0;0;0;0;0;0;0;0;1;;1;;3;5;5;5;5
Neder-Betuwe;1;1;3;3;4;4;4;4;4;;5;;9;11;11;13;16
Nederweert;0;0;1;3;3;3;5;7;7;;7;;9;11;14;18;21
Nieuwegein;0;0;0;0;1;1;3;4;6;;9;;11;11;12;15;17
Nieuwkoop;0;0;1;1;1;1;1;1;1;;2;;3;4;6;6;7
